airport_id	FAA_CODE	icao_code	iata_code	LATITUDE_DEGREES	LONGITUDE_DEGREES	COUNTRY_CODE	SUBDIVISION_CODE
24030	84MO	NULL	NULL	38.693941	-90.44873	USA	MO
24031	NV61	NULL	NULL	36.218025	-115.133614	USA	NV
24032	73MO	NULL	NULL	38.631441	-90.310948	USA	MO
24033	0NC5	NULL	NULL	35.973636	-77.853097	USA	NC
24034	NV53	NULL	NULL	36.163303	-115.165556	USA	NV
24035	49MO	NULL	NULL	38.621719	-90.389006	USA	MO
24036	NV49	NULL	NULL	36.091639	-115.174443	USA	NV
24037	00NR	NULL	NULL	35.59475	-75.470056	USA	NC
24038	NV62	NULL	NULL	36.162875	-115.167736	USA	NV
24039	MO40	NULL	NULL	37.651988	-91.568759	USA	MO
24040	MO76	NULL	NULL	37.823244	-92.161017	USA	MO
24041	8MO0	NULL	NULL	38.793947	-90.580978	USA	MO
24042	NV22	NULL	NULL	40.312704	-115.89673	USA	NV
24043	6MO2	NULL	NULL	37.986164	-90.033445	USA	MO
24044	MO44	NULL	NULL	38.783384	-90.483452	USA	MO
24045	1MU9	NULL	NULL	38.935327	-90.476506	USA	MO
24046	NV55	NULL	NULL	38.898867	-119.649417	USA	NV
24047	MU05	NULL	NULL	38.618385	-90.217334	USA	MO
24048	44MO	NULL	NULL	39.709717	-94.802186	USA	MO
24049	96MU	NULL	NULL	37.943411	-91.602133	USA	MO
24050	2MU0	NULL	NULL	37.968525	-90.054418	USA	MO
24051	MU59	NULL	NULL	37.225326	-93.290743	USA	MO
24052	2NV8	NULL	NULL	36.191944	-115.985833	USA	NV
24053	11NR	NULL	NULL	33.928083	-78.020389	USA	NC
24054	27NC	NULL	NULL	33.950728	-78.024433	USA	NC
24055	42NC	NULL	NULL	35.957778	-78.170556	USA	NC
24056	NV57	NULL	NULL	39.5263	-119.796024	USA	NV
24057	3NC7	NULL	NULL	36.519295	-81.136753	USA	NC
24058	50NV	NULL	NULL	39.616917	-119.895933	USA	NV
24059	NV58	NULL	NULL	39.533244	-119.817692	USA	NV
24060	71MI	NULL	NULL	42.084444	-83.517222	USA	MI
24061	2M5	NULL	NULL	37.65004	-93.758542	USA	MO
24062	NV73	NULL	NULL	36.341625	-116.048641	USA	NV
